"ID","Block","Phase","Experiment","soil_inocula","herbivory","dpi_8","dpi_14"
"136","1","feedback","simulated","control-conditioned","aphid",17,338
"137","2","feedback","simulated","control-conditioned","aphid",18,226
"138","3","feedback","simulated","control-conditioned","aphid",3,90
"139","4","feedback","simulated","control-conditioned","aphid",11,107
"140","5","feedback","simulated","control-conditioned","aphid",12,193
"141","6","feedback","simulated","control-conditioned","aphid",7,213
"142","7","feedback","simulated","control-conditioned","aphid",30,26
"143","8","feedback","simulated","control-conditioned","aphid",8,72
"144","9","feedback","simulated","control-conditioned","aphid",12,184
"145","10","feedback","simulated","control-conditioned","aphid",31,400
"166","1","feedback","simulated","non-conditioned","aphid",4,208
"167","2","feedback","simulated","non-conditioned","aphid",25,280
"168","3","feedback","simulated","non-conditioned","aphid",6,86
"169","4","feedback","simulated","non-conditioned","aphid",23,164
"170","5","feedback","simulated","non-conditioned","aphid",13,220
"171","6","feedback","simulated","non-conditioned","aphid",15,202
"172","7","feedback","simulated","non-conditioned","aphid",10,85
"173","8","feedback","simulated","non-conditioned","aphid",10,111
"174","9","feedback","simulated","non-conditioned","aphid",2,90
"175","10","feedback","simulated","non-conditioned","aphid",9,159
"196","1","feedback","simulated","JA-conditioned","aphid",4,166
"197","2","feedback","simulated","JA-conditioned","aphid",20,344
"198","3","feedback","simulated","JA-conditioned","aphid",14,165
"199","4","feedback","simulated","JA-conditioned","aphid",13,203
"200","5","feedback","simulated","JA-conditioned","aphid",21,213
"201","6","feedback","simulated","JA-conditioned","aphid",1,112
"202","7","feedback","simulated","JA-conditioned","aphid",19,175
"203","8","feedback","simulated","JA-conditioned","aphid",27,56
"204","9","feedback","simulated","JA-conditioned","aphid",15,60
"205","10","feedback","simulated","JA-conditioned","aphid",29,540
"226","1","feedback","simulated","SA-conditioned","aphid",5,137
"227","2","feedback","simulated","SA-conditioned","aphid",24,350
"228","3","feedback","simulated","SA-conditioned","aphid",5,159
"229","4","feedback","simulated","SA-conditioned","aphid",22,256
"230","5","feedback","simulated","SA-conditioned","aphid",21,274
"231","6","feedback","simulated","SA-conditioned","aphid",16,192
"232","7","feedback","simulated","SA-conditioned","aphid",28,536
"233","8","feedback","simulated","SA-conditioned","aphid",4,79
"234","9","feedback","simulated","SA-conditioned","aphid",26,328
"235","10","feedback","simulated","SA-conditioned","aphid",7,198
"256","1","feedback","real_insects","control-conditioned","aphids",25,155
"257","2","feedback","real_insects","control-conditioned","aphids",37,302
"258","3","feedback","real_insects","control-conditioned","aphids",14,97
"259","4","feedback","real_insects","control-conditioned","aphids",19,114
"260","5","feedback","real_insects","control-conditioned","aphids",13,115
"261","6","feedback","real_insects","control-conditioned","aphids",12,61
"262","7","feedback","real_insects","control-conditioned","aphids",15,86
"263","8","feedback","real_insects","control-conditioned","aphids",23,107
"264","9","feedback","real_insects","control-conditioned","aphids",15,91
"265","10","feedback","real_insects","control-conditioned","aphids",23,88
"286","1","feedback","real_insects","non-conditioned","aphids",19,97
"287","2","feedback","real_insects","non-conditioned","aphids",24,99
"288","3","feedback","real_insects","non-conditioned","aphids",15,73
"289","4","feedback","real_insects","non-conditioned","aphids",19,105
"290","5","feedback","real_insects","non-conditioned","aphids",14,66
"291","6","feedback","real_insects","non-conditioned","aphids",26,135
"292","7","feedback","real_insects","non-conditioned","aphids",14,82
"293","8","feedback","real_insects","non-conditioned","aphids",9,37
"294","9","feedback","real_insects","non-conditioned","aphids",16,95
"295","10","feedback","real_insects","non-conditioned","aphids",17,114
"316","1","feedback","real_insects","JA-conditioned","aphids",20,118
"317","2","feedback","real_insects","JA-conditioned","aphids",14,66
"318","3","feedback","real_insects","JA-conditioned","aphids",20,109
"319","4","feedback","real_insects","JA-conditioned","aphids",9,50
"320","5","feedback","real_insects","JA-conditioned","aphids",8,52
"321","6","feedback","real_insects","JA-conditioned","aphids",76,460
"322","7","feedback","real_insects","JA-conditioned","aphids",15,84
"323","8","feedback","real_insects","JA-conditioned","aphids",17,103
"324","9","feedback","real_insects","JA-conditioned","aphids",22,164
"325","10","feedback","real_insects","JA-conditioned","aphids",43,186
"346","1","feedback","real_insects","SA-conditioned","aphids",23,121
"347","2","feedback","real_insects","SA-conditioned","aphids",12,51
"348","3","feedback","real_insects","SA-conditioned","aphids",19,115
"349","4","feedback","real_insects","SA-conditioned","aphids",46,203
"350","5","feedback","real_insects","SA-conditioned","aphids",45,264
"351","6","feedback","real_insects","SA-conditioned","aphids",2,6
"352","7","feedback","real_insects","SA-conditioned","aphids",32,186
"353","8","feedback","real_insects","SA-conditioned","aphids",12,115
"354","9","feedback","real_insects","SA-conditioned","aphids",18,114
"355","10","feedback","real_insects","SA-conditioned","aphids",51,342
