"ID","Phase","Experiment","herbivory","soil_inocula","Block","Caterpillar 1","Caterpillar 2","Caterpillar 3","Caterpillar 4","Caterpillar 5","caterpillar_number"
"146","feedback","simulated","chewer","control-conditioned","1",NA,NA,NA,NA,NA,0
"147","feedback","simulated","chewer","control-conditioned","2",27.4,40.78,27.04,NA,NA,3
"148","feedback","simulated","chewer","control-conditioned","3",54.14,8.05,35.82,11.62,NA,4
"149","feedback","simulated","chewer","control-conditioned","4",24.67,31.98,14.71,19.36,16.28,5
"150","feedback","simulated","chewer","control-conditioned","5",14.87,6.13,24.44,14.05,26.22,5
"151","feedback","simulated","chewer","control-conditioned","6",10.85,15.98,14.12,31.45,17.62,5
"152","feedback","simulated","chewer","control-conditioned","7",46.98,22.28,17.8,25.24,NA,4
"153","feedback","simulated","chewer","control-conditioned","8",13.16,17.97,9.22,10.87,NA,4
"154","feedback","simulated","chewer","control-conditioned","9",21.8,22.43,50.97,16.68,18.58,5
"155","feedback","simulated","chewer","control-conditioned","10",21.22,12.92,25.11,NA,NA,3
"176","feedback","simulated","chewer","non-conditioned","1",13.28,9.98,19.47,14.73,34.28,5
"177","feedback","simulated","chewer","non-conditioned","2",51.34,60.09,49.92,NA,NA,3
"178","feedback","simulated","chewer","non-conditioned","3",34.38,23.31,35.68,38.51,NA,4
"179","feedback","simulated","chewer","non-conditioned","4",25.24,30.72,19.79,20.98,NA,4
"180","feedback","simulated","chewer","non-conditioned","5",30.92,9.68,22.19,50.28,NA,4
"181","feedback","simulated","chewer","non-conditioned","6",34.09,30.63,10.52,26.92,27.96,5
"182","feedback","simulated","chewer","non-conditioned","7",NA,NA,NA,NA,NA,0
"183","feedback","simulated","chewer","non-conditioned","8",40.44,26.29,50.53,22.73,20.77,5
"184","feedback","simulated","chewer","non-conditioned","9",15.5,5.01,14.08,6.22,11.53,5
"185","feedback","simulated","chewer","non-conditioned","10",14.68,19.27,16.69,23.74,NA,4
"206","feedback","simulated","chewer","JA-conditioned","1",8.49,10.36,11.17,10.53,NA,4
"207","feedback","simulated","chewer","JA-conditioned","2",33.25,9.43,11.62,29.09,NA,4
"208","feedback","simulated","chewer","JA-conditioned","3",NA,NA,NA,NA,NA,0
"209","feedback","simulated","chewer","JA-conditioned","4",11.94,6.1,39.7,21.03,11.08,5
"210","feedback","simulated","chewer","JA-conditioned","5",15.66,16.53,19.14,21.53,20.58,5
"211","feedback","simulated","chewer","JA-conditioned","6",48.39,35.97,19.54,11.08,NA,4
"212","feedback","simulated","chewer","JA-conditioned","7",21.39,12.73,31.78,15.89,NA,4
"213","feedback","simulated","chewer","JA-conditioned","8",16.98,12.87,21.9,30.12,11.02,5
"214","feedback","simulated","chewer","JA-conditioned","9",30.53,14.94,27.62,28.44,NA,4
"215","feedback","simulated","chewer","JA-conditioned","10",NA,NA,NA,NA,NA,0
"236","feedback","simulated","chewer","SA-conditioned","1",40.7,20.34,16.37,25.28,NA,4
"237","feedback","simulated","chewer","SA-conditioned","2",39.61,13.06,11.45,23.99,NA,4
"238","feedback","simulated","chewer","SA-conditioned","3",13.63,26.43,23.08,11.44,NA,4
"239","feedback","simulated","chewer","SA-conditioned","4",24.5,15.57,19.28,2.07,NA,4
"240","feedback","simulated","chewer","SA-conditioned","5",50.32,20.64,18.74,12.65,NA,4
"241","feedback","simulated","chewer","SA-conditioned","6",44.95,16.63,27.45,14.93,NA,4
"242","feedback","simulated","chewer","SA-conditioned","7",47.88,26.82,53.89,7.95,NA,4
"243","feedback","simulated","chewer","SA-conditioned","8",11.72,15.63,18.97,15.02,19.11,5
"244","feedback","simulated","chewer","SA-conditioned","9",13.52,5.02,24.82,32.93,NA,4
"245","feedback","simulated","chewer","SA-conditioned","10",45.69,23.15,45.32,27.77,14.01,5
"266","feedback","real_insects","chewer","control-conditioned","1",8.79,5.96,6.88,NA,NA,3
"267","feedback","real_insects","chewer","control-conditioned","2",9.15,11.18,4,NA,NA,3
"268","feedback","real_insects","chewer","control-conditioned","3",13.45,5.85,4.26,NA,NA,3
"269","feedback","real_insects","chewer","control-conditioned","4",3.71,2.71,3.73,5.96,7.94,5
"270","feedback","real_insects","chewer","control-conditioned","5",5.69,2.36,5.73,4.54,NA,4
"271","feedback","real_insects","chewer","control-conditioned","6",6.48,6.54,5.42,NA,NA,3
"272","feedback","real_insects","chewer","control-conditioned","7",6.72,3.74,4.39,NA,NA,3
"273","feedback","real_insects","chewer","control-conditioned","8",7.28,3.95,5.17,NA,NA,3
"274","feedback","real_insects","chewer","control-conditioned","9",2.27,6.13,7.19,4.19,NA,4
"275","feedback","real_insects","chewer","control-conditioned","10",7.87,6.63,NA,NA,NA,2
"296","feedback","real_insects","chewer","non-conditioned","1",6.7,8.56,14.19,7.78,6.68,5
"297","feedback","real_insects","chewer","non-conditioned","2",6.59,2.68,NA,NA,NA,2
"298","feedback","real_insects","chewer","non-conditioned","3",7.05,9.28,3.78,3.28,NA,4
"299","feedback","real_insects","chewer","non-conditioned","4",4.19,6.69,8.05,7.44,3.88,5
"300","feedback","real_insects","chewer","non-conditioned","5",10.75,9.29,4.24,3.25,NA,4
"301","feedback","real_insects","chewer","non-conditioned","6",8.06,5.12,3.92,2.13,NA,4
"302","feedback","real_insects","chewer","non-conditioned","7",5.2,9.89,4.1,8.66,4.54,5
"303","feedback","real_insects","chewer","non-conditioned","8",3.41,2.33,5.66,2.81,7.72,5
"304","feedback","real_insects","chewer","non-conditioned","9",4.65,7.35,6.79,NA,NA,3
"305","feedback","real_insects","chewer","non-conditioned","10",2.15,7.11,2.95,NA,NA,3
"326","feedback","real_insects","chewer","JA-conditioned","1",4.35,10.01,7.03,4.86,NA,4
"327","feedback","real_insects","chewer","JA-conditioned","2",13.31,8.99,4.39,8.69,NA,4
"328","feedback","real_insects","chewer","JA-conditioned","3",8.3,NA,NA,NA,NA,1
"329","feedback","real_insects","chewer","JA-conditioned","4",2.07,12.47,12.16,NA,NA,3
"330","feedback","real_insects","chewer","JA-conditioned","5",2.72,6.29,1.96,5.87,3.45,5
"331","feedback","real_insects","chewer","JA-conditioned","6",8.55,3.85,1.92,5.05,3.69,5
"332","feedback","real_insects","chewer","JA-conditioned","7",6.37,11.94,5.8,NA,NA,3
"333","feedback","real_insects","chewer","JA-conditioned","8",7.77,10.71,6.9,NA,NA,3
"334","feedback","real_insects","chewer","JA-conditioned","9",5.82,4.5,3.27,2.57,NA,4
"335","feedback","real_insects","chewer","JA-conditioned","10",8.48,8.59,2.3,4.11,NA,4
"356","feedback","real_insects","chewer","SA-conditioned","1",14.38,12.68,3.16,10.88,NA,4
"357","feedback","real_insects","chewer","SA-conditioned","2",7.27,5.97,14.36,6.21,NA,4
"358","feedback","real_insects","chewer","SA-conditioned","3",9.57,5.22,8.8,2.85,2.85,5
"359","feedback","real_insects","chewer","SA-conditioned","4",6.32,4.65,4.12,NA,NA,3
"360","feedback","real_insects","chewer","SA-conditioned","5",7.36,4.68,5.83,1.83,NA,4
"361","feedback","real_insects","chewer","SA-conditioned","6",6.59,10.28,4.36,8.65,NA,4
"362","feedback","real_insects","chewer","SA-conditioned","7",7.38,3.05,4.7,NA,NA,3
"363","feedback","real_insects","chewer","SA-conditioned","8",5.62,10.75,6.22,3.94,3.38,5
"364","feedback","real_insects","chewer","SA-conditioned","9",5.48,5.2,2.27,7.18,NA,4
"365","feedback","real_insects","chewer","SA-conditioned","10",2.68,6.01,3.97,4.85,NA,4
